INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,Latitude,Longitude
228798151,2021-05-27,21:30:00,Queens,105,40.662964620000025,-73.73083868899994
219559682,2020-10-21,21:36:00,Brooklyn,81,40.678456718000064,-73.92795224099996
234756217,2021-10-09,20:17:00,Brooklyn,71,40.66502269100005,-73.95711436799998
230311079,2021-07-01,02:44:00,Brooklyn,73,40.66947322100003,-73.90780500799997
225297069,2021-03-07,21:17:00,Brooklyn,71,40.65735150300002,-73.95840237599998
215767018,2020-07-24,01:30:00,Brooklyn,78,40.67790089700002,-73.98428342199996
165264362,2017-05-27,12:00:00,Queens,105,40.69855836100004,-73.73531117
174579538,2018-02-08,20:16:00,Staten Island,120,40.64075466000003,-74.07674821299997
235757726,2021-10-31,14:24:00,Brooklyn,79,40.69472815800003,-73.94182674699994
233762539,2021-09-18,19:41:00,Manhattan,23,40.79100658600004,-73.94930485999998
166268793,2017-06-20,22:30:00,Brooklyn,73,40.66305447500008,-73.91097205999995
226500707,2021-04-04,23:15:00,Brooklyn,75,40.65704377400005,-73.89382012899993
214729488,2020-06-29,20:56:00,Brooklyn,83,40.69267543700005,-73.909577083
230418793,2021-07-02,23:13:00,Bronx,47,40.88584267800008,-73.85818261899993
224817400,2021-02-24,14:00:00,Manhattan,28,40.807407416000046,-73.94564758499997
171866986,2017-11-21,22:25:00,Brooklyn,75,40.64436740700006,-73.87799278399996
211767651,2020-04-05,03:19:00,Brooklyn,67,40.66194182000004,-73.921030262
173914520,2018-01-22,22:50:00,Bronx,40,40.80719775400007,-73.92429928699994
201384969,2019-08-20,21:25:00,Brooklyn,73,40.66473091300002,-73.92117024099997
235964022,2021-11-05,22:10:00,Brooklyn,67,40.65867979500007,-73.91739273499996
178830276,2018-05-01,11:00:00,Bronx,52,40.87806841600008,-73.87470609099995
166413154,2017-06-25,02:02:00,Manhattan,23,40.79199778700007,-73.94971896899993
227950667,2021-05-09,19:43:00,Manhattan,25,40.797348115000034,-73.93054433099996
226654026,2021-04-07,02:07:00,Manhattan,14,40.75471551300007,-73.99163482499995
204458419,2019-11-02,10:37:00,Bronx,47,40.88007341300005,-73.85069555199993
236325239,2021-11-15,17:55:00,Brooklyn,71,40.66092425800008,-73.94920187099996
215767017,2020-07-24,17:32:00,Brooklyn,71,40.66830013500004,-73.95467410499998
174579221,2018-02-09,00:12:00,Brooklyn,67,40.65422368000003,-73.91156363399993
190170259,2018-11-19,00:05:00,Bronx,47,40.89857311700007,-73.85865463599998
234208836,2021-09-28,20:40:00,Manhattan,24,40.78931028700004,-73.97383765099994
168461315,2017-08-24,22:33:00,Brooklyn,76,40.68354945300007,-73.98849451599993
237508167,2021-12-07,21:10:00,Bronx,48,40.84749534600007,-73.89273179899999
182363095,2018-05-06,20:57:00,Brooklyn,73,40.68126293200004,-73.91550525499997
197997725,2019-06-03,07:07:00,Brooklyn,75,40.65553981000005,-73.88409743899997
199247701,2019-07-03,00:04:00,Queens,114,40.755442491000046,-73.94342211899993
168080334,2017-08-12,23:34:00,Brooklyn,71,40.666334881000076,-73.95153265199998
222075197,2020-12-20,15:08:00,Queens,103,40.70254355200007,-73.81377704299997
169924413,2017-09-29,19:30:00,Bronx,49,40.86432925300005,-73.86739277899994
217077237,2020-08-26,18:15:00,Queens,113,40.69276331300006,-73.75081325899998
229507142,2021-06-11,22:50:00,Queens,113,40.69603752700005,-73.76783154699996
229507546,2021-06-12,14:24:00,Bronx,41,40.82488497200006,-73.89945993699997
160509155,2017-01-21,19:43:00,Brooklyn,73,40.67790731200006,-73.91078481299996
226654025,2021-04-07,01:08:00,Bronx,40,40.81102821500008,-73.90426016799995
236362255,2021-11-16,08:33:00,Manhattan,28,40.811169851000045,-73.95044910699994
231635823,2021-07-30,16:30:00,Queens,113,40.70243145800004,-73.76578597799994
235839217,2021-11-02,09:06:00,Bronx,52,40.86472467400005,-73.89068300599996
186606589,2018-08-17,19:57:00,Brooklyn,73,40.674993493000045,-73.91523492899995
229540933,2021-06-14,22:19:00,Brooklyn,67,40.63978779400002,-73.95179424699995
235116950,2021-10-17,14:02:00,Bronx,49,40.83972036200005,-73.87196727499997
238009968,2021-12-18,00:15:00,Brooklyn,62,40.61380164800004,-74.00882583999999
168306062,2017-08-19,17:15:00,Brooklyn,73,40.66828046500007,-73.90262664599999
216692583,2020-08-17,04:10:00,Manhattan,24,40.79241056200004,-73.97242818899997
228109390,2021-05-12,23:11:00,Brooklyn,83,40.68822079700004,-73.91981169999997
238344522,2021-12-27,15:48:00,Brooklyn,73,40.65563971300003,-73.91153990699996
179645492,2018-05-02,23:56:00,Brooklyn,73,40.66305447500008,-73.91097205999995
229507545,2021-06-12,05:51:00,Bronx,41,40.81330412800003,-73.90163776399999
213922505,2020-06-05,19:35:00,Brooklyn,72,40.63965208400003,-74.008825657
166951006,2017-07-11,23:10:00,Brooklyn,70,40.64937174300008,-73.96087431999997
216651448,2020-08-15,18:30:00,Manhattan,34,40.85340047200003,-73.92984395199994
168528147,2017-08-27,05:20:00,Bronx,43,40.82145677500006,-73.86620145399996
174579540,2018-02-09,03:15:00,Brooklyn,71,40.66589825100005,-73.95774618899996
186606592,2018-08-18,04:23:00,Bronx,49,40.86552949000002,-73.86008336699997
227665924,2021-05-03,00:18:00,Brooklyn,69,40.63242457100006,-73.88404526199997
220154695,2020-11-05,17:43:00,Brooklyn,79,40.69062783700008,-73.95792681799996
170307135,2017-10-11,21:09:00,Bronx,44,40.828847817000046,-73.91665933599995
215817239,2020-07-27,23:40:00,Queens,101,40.59368541500004,-73.75907127899995
216056537,2020-08-01,18:00:00,Bronx,40,40.808170827000026,-73.92652336699997
233147094,2021-09-04,15:39:00,Bronx,49,40.86140136000005,-73.87000947599995
183565220,2018-06-06,00:13:00,Bronx,46,40.85135659000008,-73.92017960199996
235857196,2021-11-03,02:25:00,Manhattan,25,40.802422302000025,-73.93382234599994
211065733,2020-03-14,00:50:00,Brooklyn,71,40.66178911500003,-73.95365893899998
232924791,2021-08-30,20:20:00,Brooklyn,75,40.67935723000005,-73.88920942899993
238312741,2021-12-26,22:20:00,Queens,103,40.69459323800004,-73.79347284999993
223928176,2021-02-03,19:20:00,Brooklyn,73,40.668630731000064,-73.90463038099993
201851566,2019-08-30,22:49:00,Queens,104,40.71193868400008,-73.90447508499993
207701108,2020-01-09,03:34:00,Manhattan,9,40.72636754000007,-73.98331432699996
228798150,2021-05-27,21:06:00,Bronx,43,40.82133600200007,-73.84698961699996
216351812,2020-08-07,14:40:00,Bronx,48,40.857430143000045,-73.893696343
230448906,2021-07-04,02:00:00,Bronx,42,40.83463574800004,-73.89809365899998
214184464,2020-06-13,23:02:00,Manhattan,25,40.80800286500005,-73.94005570199994
196364281,2019-04-23,22:54:00,Bronx,47,40.88269527800002,-73.83315773299995
199467225,2019-07-08,17:40:00,Brooklyn,71,40.66790844000008,-73.93259885099997
197706724,2019-05-28,03:10:00,Bronx,40,40.80653857400006,-73.91891149799994
229542172,2021-06-14,21:20:00,Queens,103,40.696501571000056,-73.79387084199995
236094286,2021-11-09,16:44:00,Bronx,47,40.88851003500002,-73.83129772599993
220863880,2020-11-22,13:19:00,Brooklyn,75,40.67289049200008,-73.89807041999995
167343776,2017-07-23,23:21:00,Bronx,47,40.87689135600005,-73.84133305199998
189046703,2018-10-19,17:40:00,Manhattan,34,40.85640642900006,-73.92920026099995
234475687,2021-10-04,13:10:00,Queens,101,40.60446515900002,-73.75306051399998
207572465,2020-01-07,13:30:00,Queens,101,40.60977721300002,-73.75061519199994
197953467,2019-06-01,22:12:00,Bronx,41,40.814349959000026,-73.88787652999997
206843560,2019-12-25,22:50:00,Bronx,41,40.82041067500006,-73.893329823
206873499,2019-12-27,22:40:00,Queens,113,40.706809158000056,-73.75105155499993
199786226,2019-07-15,00:07:00,Brooklyn,73,40.661503080000045,-73.90766193699993
227089382,2021-04-16,10:45:00,Queens,103,40.70004122000006,-73.78871707799993
222539215,2021-01-01,01:11:00,Queens,102,40.71336457500007,-73.82847651899993
222717380,2021-01-06,17:08:00,Bronx,52,40.87875342500007,-73.87254663499994
170219562,2017-10-09,19:17:00,Bronx,47,40.90548732500002,-73.84845206699998
183190791,2018-05-27,03:37:00,Bronx,40,40.810276010000045,-73.92562245099998
213550053,2020-05-26,15:51:00,Brooklyn,76,40.68301463800003,-73.99020926399999
178740662,2018-04-29,15:44:00,Bronx,41,40.82474733500004,-73.89885493099996
222932692,2021-01-11,23:49:00,Bronx,47,40.88708918800006,-73.86778566699996
163255150,2017-03-29,03:49:00,Queens,113,40.68183903300008,-73.76588263899998
231369853,2021-07-26,09:45:00,Bronx,40,40.818841089000045,-73.90595421499995
222524733,2021-01-01,00:16:00,Queens,108,40.75401807000002,-73.94839096099996
171254027,2017-11-03,16:12:00,Manhattan,9,40.72399576700008,-73.97581440699997
170264299,2017-10-10,17:32:00,Bronx,48,40.84424632300005,-73.87767476799996
185390947,2018-07-19,01:38:00,Bronx,44,40.83509360400007,-73.90804801299998
212170023,2020-04-19,08:50:00,Brooklyn,75,40.65932863300003,-73.89120363099995
229822334,2021-06-19,22:05:00,Manhattan,25,40.811609506000025,-73.93489334999998
203676928,2019-10-12,06:55:00,Brooklyn,77,40.67621635600005,-73.93042149699994
171292987,2017-11-06,19:30:00,Manhattan,25,40.80213862200002,-73.93905933399996
197293452,2019-05-16,22:01:00,Bronx,47,40.88708970100004,-73.867784536
171126115,2017-11-01,18:34:00,Brooklyn,75,40.66568580200004,-73.89861873899997
